"","Brain_weight_g","Body_mass_g","Expected_brain_weight_g_dembo","PEQ_dembo","Expected_brain_weight_g_sediba","PEQ_sediba","Expected_brain_weight_g_naledi","PEQ_naledi","Expected_brain_weight_g_flores","PEQ_flores"
"G. gorilla",508.0614737,120950,776.257157700882,0.654501499483466,742.587893447301,0.684176887588938,734.702046680816,0.691520427900376,802.046820769906,0.633456128175034
"P. troglodytes",379.3832,44967,357.850100339399,1.06017351857713,373.705464641334,1.01519307555247,370.055789896357,1.02520541593541,333.867972631093,1.13632702475238
"S. tchadensis",378.14,58000,436.725120845294,0.865853558568143,445.90225287336,0.8480333919896,441.449595374083,0.856587034992218,418.294615516325,0.904003986599828
"Ar. ramidus",310.8,50000,388.831612968883,0.799317724263517,402.25928240328,0.772635992743633,398.293929772042,0.780328236932664,366.764650628259,0.847409911144946
"Au. anamensis",380.73,46300,366.125856587372,1.039888314769,381.359201916854,0.998350106897404,377.625168427316,1.00822199321516,342.619882931094,1.11123148120557
"Au. afarensis",462.056,39100,320.761485035942,1.44049713433714,339.150123407918,1.36239372510638,335.878830203701,1.37566276421701,294.98060709605,1.56639449809508
"Au. africanus",476.56,30500,264.091700500585,1.80452471280499,285.447222041345,1.66952053900519,282.755106511448,1.68541606862441,236.722521611466,2.01315868365994
"P. robustus",493.136,36050,301.007815718139,1.63828304199838,320.563229458454,1.53834237580238,317.493681048002,1.55321516438446,274.505544573565,1.79645187409992
"P. boisei",442.372,41300,334.801853537931,1.3212949549871,352.282080505274,1.25573233632977,348.867484272334,1.2680230171714,309.635737788312,1.42868521301774
"P. aethiopicus",424.76,38000,313.677223205478,1.35413083442707,332.499636144762,1.27747508215338,329.300677314603,1.2898849873734,287.617961518378,1.47682014627191
"Au. sediba",435.12,25800,231.671851022905,1.87817379659552,254.147646851097,1.71207565913421,251.787432211372,1.72812437927689,204.108864052044,2.13180354523483
"H. habilis",646.7748,32600,278.218876875162,2.32469776049815,298.947298724707,2.16350775791956,296.110683083426,2.18423325111096,251.104211081394,2.57572263409932
"H. rudolfensis",779.072,55200,420.13644203951,1.85433093168037,430.850343134866,1.80821951847937,426.566377725962,1.82637929447993,400.357609256673,1.94594028435346
"African H. erectus",902.356,48900,382.120631860489,2.36144276116828,396.096748707272,2.27812018893109,392.199745507851,2.30075620990411,359.60849368015,2.5092733232341
"Asian H. erectus",1026.676,51400,397.326663591239,2.58395948240771,410.042855386961,2.50382609161941,405.991006891159,2.52881463523461,375.846564010922,2.73163598741896
"H. heidelbergensis",1286.712,70600,509.361772869913,2.52612596495068,511.082213643974,2.51762234264787,505.892035932635,2.54345178142188,497.858815778478,2.58449174589392
"H. neanderthalensis",1454.544,72109,517.862668793609,2.80874464921066,518.638751141819,2.80454169071964,513.362375963331,2.83336697059369,507.273033210677,2.86737891583507
"H. floresiensis",441.0252,27500,243.535468119019,1.81092800735072,265.655491564674,1.66013959433861,263.173774932158,1.67579463460479,215.977810667512,2.04199310399964
"H. sapiens",1397.564,57849.1,435.835617585237,3.2066309948307,445.096816992259,3.13991011987917,440.653202462337,3.17157345547591,417.330502511736,3.34881824258867
"H. antecessor",1302.77,69700,504.272874246987,2.5834623802547,506.551813461848,2.5718395737184,501.413247696805,2.59819621037967,492.233052655676,2.64665282628086
"Georgian H. erectus",565.656,40700,330.989145703733,1.70898655542715,348.722333056093,1.62208137070766,345.346643732645,1.63793686797174,305.647929414345,1.85067833138559
"H. naledi",530.95,44000,351.813231684989,1.5091814411216,368.109704086531,1.44236892998396,364.521582330573,1.45656670478978,327.500537176113,1.62121871487033
