"","Brain_weight_g","Body_mass_g"
"G. gorilla",508.0614737,120950
"P. troglodytes",379.3832,44967
"S. tchadensis",378.14,58000
"Ar. ramidus",310.8,50000
"Au. anamensis",380.73,46300
"Au. afarensis",462.056,39100
"Au. africanus",476.56,30500
"Au. garhi",466.2,NA
"K. platyops",440.3,NA
"P. robustus",493.136,36050
"P. boisei",442.372,41300
"P. aethiopicus",424.76,38000
"Au. sediba",435.12,25800
"H. habilis",646.7748,32600
"H. rudolfensis",779.072,55200
"African H. erectus",902.356,48900
"Asian H. erectus",1026.676,51400
"H. heidelbergensis",1286.712,70600
"H. neanderthalensis",1454.544,72109
"H. floresiensis",441.0252,27500
"H. sapiens",1397.564,57849.1
"H. antecessor",1302.77,69700
"Georgian H. erectus",565.656,40700
"H. naledi",530.95,44000
